route,mean delay for route
ABEATL,3.5135135135135136
ABEBNA,95.66666666666667
ABECLT,-0.37362637362637363
ABEDTW,12.659340659340659
ABEFLL,18.666666666666668
ABEMYR,12.083333333333334
ABEORD,11.633663366336634
ABEPGD,9.470588235294118
ABEPHL,1.5897435897435896
ABEPIE,-8.357142857142858
ABESAV,-17.0
ABESFB,16.88095238095238
ABIDFW,9.179775280898877
ABQATL,-4.534246575342466
ABQAUS,4.275862068965517
ABQBWI,6.446808510638298
ABQDAL,2.06993006993007
ABQDEN,7.534979423868313
ABQDFW,12.538135593220339
ABQHOU,-1.7468354430379747
ABQIAH,18.048780487804876
ABQJFK,19.26086956521739
ABQLAS,0.19285714285714287
ABQLAX,-0.509090909090909
ABQMCI,-0.90625
ABQMCO,1.0
ABQMDW,2.0
ABQMSP,-5.470588235294118
ABQOAK,0.2222222222222222
ABQORD,3.8421052631578947
ABQPDX,-2.864864864864865
ABQPHX,5.180473372781065
ABQSAN,-2.96875
ABQSEA,5.346153846153846
ABQSFO,-4.183908045977011
ABQSJC,-8.222222222222221
ABQSLC,17.944444444444443
ABQSNA,-1.3125
ABRMSP,-1.3454545454545455
ABYATL,19.058823529411764
ACKBOS,26.785714285714285
ACKDCA,76.95
ACKEWR,16.714285714285715
ACKHPN,9.0
ACKJFK,19.711111111111112
ACKLGA,11.952380952380953
ACTDFW,-3.7421875
ACVDEN,29.53846153846154
ACVLAX,21.86046511627907
ACVSFO,3.57
ACYATL,-6.9375
ACYFLL,-7.493333333333333
ACYMCO,1.876923076923077
ACYMSY,-1.8
ACYMYR,-12.344827586206897
ACYPBI,2.7142857142857144
ACYRSW,-8.928571428571429
ACYTPA,0.34615384615384615
ADKANC,19.0
ADQANC,-4.549019607843137
AEXATL,12.073770491803279
AEXDFW,15.214285714285714
AEXIAH,7.302631578947368
AGSATL,4.607438016528926
AGSCLT,10.156976744186046
AGSDCA,-13.0
AGSDFW,10.8
AGSLGA,-44.0
AGSPHL,-7.0
AKNANC,-7.555555555555555
ALBATL,9.790697674418604
ALBBWI,-3.3411764705882354
ALBCLT,-5.211764705882353
ALBDCA,7.017241379310345
ALBDEN,4.92
ALBDTW,-5.754545454545455
ALBEWR,17.272727272727273
ALBFLL,11.25531914893617
ALBIAD,19.194805194805195
ALBMCO,1.4607843137254901
ALBMDW,1.2456140350877194
ALBMSP,-2.739130434782609
ALBMYR,-6.0
ALBORD,4.4766355140186915
ALBPGD,8.285714285714286
ALBPHL,9.170068027210885
ALBPIE,5.555555555555555
ALBRDU,-15.666666666666666
ALBRSW,6.75
ALBSAV,3.0
ALBSFB,39.5
ALBTPA,-5.9375
ALOORD,12.254545454545454
ALWSEA,1.7311827956989247
AMADAL,4.561904761904762
AMADEN,4.055555555555555
AMADFW,7.908163265306122
AMAHOU,-18.0
AMAIAH,9.655555555555555
AMALAS,1.7428571428571429
AMAPHX,-0.35
ANCADK,1.0769230769230769
ANCADQ,4.879310344827586
ANCAKN,11.833333333333334
ANCATL,8.833333333333334
ANCBET,0.39436619718309857
ANCBLI,-16.0
ANCCDV,9.64516129032258
ANCDEN,-3.2051282051282053
ANCDFW,123.375
ANCDLG,0.6
ANCDUT,23.672727272727272
ANCEWR,2.5
ANCFAI,-4.633663366336633
ANCHNL,-7.625
ANCIAH,-13.25
ANCJNU,-3.787878787878788
ANCKOA,-15.0
ANCLAX,-12.2
ANCMSP,-11.91304347826087
ANCOGG,-12.5
ANCOME,-12.428571428571429
ANCORD,4.615384615384615
ANCOTZ,-1.4666666666666666
ANCPDX,1.4179104477611941
ANCPHX,-16.066666666666666
ANCSCC,-1.5245901639344261
ANCSEA,-6.110714285714286
ANCSFO,-0.75
ANCSLC,-19.0
APNDTW,1.34375
APNPLN,-16.529411764705884
ARTPHL,3.772727272727273
ASEATL,-7.571428571428571
ASEDEN,10.644329896907216
ASEDFW,12.048387096774194
ASEIAH,15.289473684210526
ASELAX,5.151162790697675
ASEMSP,-20.0
ASEORD,42.476190476190474
ASEPHX,4.6
ASESFO,18.56
ASESLC,3.8363636363636364
ATLABE,2.0
ATLABQ,2.403225806451613
ATLABY,0.5411764705882353
ATLACY,0.2
ATLAEX,-1.5365853658536586
ATLAGS,0.30578512396694213
ATLALB,-4.0
ATLANC,13.571428571428571
ATLASE,-3.3333333333333335
ATLATW,-3.32
ATLAUS,1.7638483965014577
ATLAVL,5.96875
ATLAVP,4.611111111111111
ATLBDL,2.9246231155778895
ATLBHM,5.88673139158576
ATLBMI,10.555555555555555
ATLBNA,0.8658536585365854
